# Gene Family	demo_Abundance-RPKs
UniRef90_A6KZR7: Fumarate reductase iron-sulfur cluster protein subunit|g__Bacteroides.s__Bacteroides_vulgatus	7.6103500761
UniRef90_A6L5E0: NO_NAME	16.6666666667
UniRef90_A6L5E0: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	16.6666666667
UniRef90_B6W456: NO_NAME	16.6666666667
UniRef90_B6W456: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	16.6666666667
UniRef90_R7NZY6: NO_NAME	16.6666666667
UniRef90_R7NZY6: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	16.6666666667
UniRef90_R6HID2: NO_NAME	16.5484633570
UniRef90_R6HID2: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	11.8203309693
UniRef90_R6HID2: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	4.7281323877
UniRef90_I8ZG91: NO_NAME	16.4609053498
UniRef90_I8ZG91: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	16.4609053498
UniRef90_G1ULG1: NO_NAME	16.3934426230
UniRef90_G1ULG1: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	16.3934426230
UniRef90_R6HKJ4: NO_NAME	16.2601626016
UniRef90_R6HKJ4: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	8.1300813008
UniRef90_R6HKJ4: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	8.1300813008
UniRef90_A6L5B2: Ferredoxin domain containing protein	16.2037037037
UniRef90_A6L5B2: Ferredoxin domain containing protein|g__Bacteroides.s__Bacteroides_vulgatus	9.2592592593
UniRef90_A6L5B2: Ferredoxin domain containing protein|g__Bacteroides.s__Bacteroides_dorei	6.9444444444
UniRef90_I9QMD3: NO_NAME	16.1290322581
UniRef90_I9QMD3: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	16.1290322581
UniRef90_A6L303: NO_NAME	15.8730158730
UniRef90_A6L303: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	9.0702947846
UniRef90_A6L303: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	6.8027210884
UniRef90_R6IEY0: NO_NAME	15.8730158730
UniRef90_R6IEY0: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	15.8730158730
UniRef90_R9HCS0: NO_NAME	15.8730158730
UniRef90_R9HCS0: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	15.8730158730
UniRef90_Q64WL4: NO_NAME	15.5038759690
UniRef90_Q64WL4: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	15.5038759690
UniRef90_R6HM78: Hydrogenase maturation GTPase HydF	15.4937654938
UniRef90_R6HM78: Hydrogenase maturation GTPase HydF|g__Bacteroides.s__Bacteroides_vulgatus	11.9047619048
UniRef90_R6HM78: Hydrogenase maturation GTPase HydF|g__Bacteroides.s__Bacteroides_dorei	3.5890035890
UniRef90_A6KYS7: 30S ribosomal protein S15	15.4412247848
UniRef90_A6KYS7: 30S ribosomal protein S15|g__Bacteroides.s__Bacteroides_vulgatus	9.5932715684
UniRef90_A6KYS7: 30S ribosomal protein S15|g__Bacteroides.s__Bacteroides_dorei	5.8479532164
UniRef90_A6L3X7: NO_NAME	15.4349956634
UniRef90_A6L3X7: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	15.4349956634
UniRef90_Q650D8: NO_NAME	15.4320987654
UniRef90_Q650D8: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	12.3456790123
UniRef90_Q650D8: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	3.0864197531
UniRef90_I9PQN8: NO_NAME	15.3846153846
UniRef90_I9PQN8: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	15.3846153846
UniRef90_R7NWM3: NO_NAME	15.3061224490
UniRef90_R7NWM3: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	11.9047619048
UniRef90_R7NWM3: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	3.4013605442
UniRef90_C3PW36: NO_NAME	15.2030509173
UniRef90_C3PW36: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	15.2030509173
UniRef90_F7UWW6: Aspartate racemase	15.1515151515
UniRef90_F7UWW6: Aspartate racemase|g__Bacteroides.s__Bacteroides_dorei	15.1515151515
UniRef90_R6HLV0: YjeE family ATPase	15.1515151515
UniRef90_R6HLV0: YjeE family ATPase|g__Bacteroides.s__Bacteroides_vulgatus	9.0909090909
UniRef90_R6HLV0: YjeE family ATPase|g__Bacteroides.s__Bacteroides_dorei	6.0606060606
UniRef90_A6L277: NO_NAME	14.9253731343
UniRef90_A6L277: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	14.9253731343
UniRef90_A6KXY7: NO_NAME	14.8736972266
UniRef90_A6KXY7: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	8.3377495142
UniRef90_A6KXY7: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	6.5359477124
UniRef90_D1K0Y4: NO_NAME	14.8148148148
UniRef90_D1K0Y4: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	7.4074074074
UniRef90_D1K0Y4: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	7.4074074074
UniRef90_D1K4H6: NO_NAME	14.5798783858
UniRef90_D1K4H6: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	14.5798783858
UniRef90_R6HSV0: NO_NAME	14.5131911393
UniRef90_R6HSV0: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	14.5131911393
UniRef90_C6Z3C4: NO_NAME	14.4927536232
UniRef90_C6Z3C4: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	14.4927536232
UniRef90_Q650E5: NO_NAME	14.4927536232
UniRef90_Q650E5: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	14.4927536232
UniRef90_R6HMH8: NO_NAME	14.4927536232
UniRef90_R6HMH8: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	14.4927536232
UniRef90_R9HQ76: NO_NAME	14.4927536232
UniRef90_R9HQ76: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	14.4927536232
UniRef90_R6HM09: NO_NAME	14.4383044680
UniRef90_R6HM09: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	11.5143278598
UniRef90_R6HM09: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	2.9239766082
UniRef90_R6CCT5: Transcriptional regulator MarR family	14.3678160920
UniRef90_R6CCT5: Transcriptional regulator MarR family|g__Bacteroides.s__Bacteroides_vulgatus	11.4942528736
UniRef90_R6CCT5: Transcriptional regulator MarR family|g__Bacteroides.s__Bacteroides_dorei	2.8735632184
UniRef90_I9F7R5: NO_NAME	14.1843971631
UniRef90_I9F7R5: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	14.1843971631
UniRef90_A6KWV2: NO_NAME	13.8888888889
UniRef90_A6KWV2: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	13.8888888889
UniRef90_C3PVL5: NO_NAME	13.8888888889
UniRef90_C3PVL5: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	13.8888888889
UniRef90_D6CZE7: Transposase DDE domain	13.8312586445
UniRef90_D6CZE7: Transposase DDE domain|g__Bacteroides.s__Bacteroides_vulgatus	13.8312586445
UniRef90_R7P0P4: NO_NAME	13.8067061144
UniRef90_R7P0P4: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	13.8067061144
UniRef90_I9QBE7: NO_NAME	13.7741046832
UniRef90_I9QBE7: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	13.7741046832
UniRef90_Q5L8D4: 30S ribosomal protein S11	13.7457044674
UniRef90_Q5L8D4: 30S ribosomal protein S11|g__Bacteroides.s__Bacteroides_dorei	10.3092783505
UniRef90_Q5L8D4: 30S ribosomal protein S11|g__Bacteroides.s__Bacteroides_vulgatus	3.4364261168
UniRef90_Q650G6: NO_NAME	13.6054421769
UniRef90_Q650G6: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	13.6054421769
UniRef90_R6HLL3: NO_NAME	13.6054421769
UniRef90_R6HLL3: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	13.6054421769
UniRef90_R7NS71: NO_NAME	13.5135135135
UniRef90_R7NS71: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	9.0090090090
UniRef90_R7NS71: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	4.5045045045
UniRef90_A6KXU6: NO_NAME	13.3333333333
UniRef90_A6KXU6: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	13.3333333333
UniRef90_B6W5J0: NO_NAME	13.3333333333
UniRef90_B6W5J0: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	13.3333333333
UniRef90_R7P2W5: NO_NAME	13.3333333333
UniRef90_R7P2W5: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	13.3333333333
UniRef90_A6KZJ9: tRNA pseudouridine synthase B	13.1362889984
UniRef90_A6KZJ9: tRNA pseudouridine synthase B|g__Bacteroides.s__Bacteroides_dorei	8.2101806240
UniRef90_A6KZJ9: tRNA pseudouridine synthase B|g__Bacteroides.s__Bacteroides_vulgatus	4.9261083744
UniRef90_A6L1U6: NO_NAME	13.1362889984
UniRef90_A6L1U6: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	6.5681444992
UniRef90_A6L1U6: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	6.5681444992
UniRef90_I9R3T6: NO_NAME	13.0718954248
UniRef90_I9R3T6: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	13.0718954248
UniRef90_A6L706: NO_NAME	13.0208333333
UniRef90_A6L706: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	10.4166666667
UniRef90_A6L706: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	2.6041666667
UniRef90_R6HVW3: NO_NAME	12.9870129870
UniRef90_R6HVW3: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	12.9870129870
UniRef90_R6HHC0: NO_NAME	12.9629629630
UniRef90_R6HHC0: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	12.9629629630
UniRef90_A6L308: NO_NAME	12.8205128205
UniRef90_A6L308: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	12.8205128205
UniRef90_D4VA22: Putative lipoprotein	12.8205128205
UniRef90_D4VA22: Putative lipoprotein|g__Bacteroides.s__Bacteroides_vulgatus	12.8205128205
UniRef90_I8UQW6: NO_NAME	12.8205128205
UniRef90_I8UQW6: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	12.8205128205
UniRef90_R5M126: Peroxiredoxin	12.8205128205
UniRef90_R5M126: Peroxiredoxin|g__Bacteroides.s__Bacteroides_vulgatus	8.5470085470
UniRef90_R5M126: Peroxiredoxin|g__Bacteroides.s__Bacteroides_dorei	4.2735042735
UniRef90_R6IKN1: NO_NAME	12.8205128205
UniRef90_R6IKN1: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	12.8205128205
UniRef90_R6ZBZ2: NO_NAME	12.8205128205
UniRef90_R6ZBZ2: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	12.8205128205
UniRef90_Q5LI35: Elongation factor P	12.8205128205
UniRef90_Q5LI35: Elongation factor P|g__Bacteroides.s__Bacteroides_dorei	10.6837606838
UniRef90_Q5LI35: Elongation factor P|g__Bacteroides.s__Bacteroides_vulgatus	2.1367521368
UniRef90_R6HWM4: NO_NAME	12.8205128205
UniRef90_R6HWM4: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	12.8205128205
UniRef90_A6L0W0: Probable nicotinate-nucleotide adenylyltransferase	12.6582278481
UniRef90_A6L0W0: Probable nicotinate-nucleotide adenylyltransferase|g__Bacteroides.s__Bacteroides_dorei	8.4388185654
UniRef90_A6L0W0: Probable nicotinate-nucleotide adenylyltransferase|g__Bacteroides.s__Bacteroides_vulgatus	4.2194092827
UniRef90_R9HNX0: NO_NAME	12.4378109453
UniRef90_R9HNX0: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	12.4378109453
UniRef90_A6KX80: NO_NAME	12.3456790123
UniRef90_A6KX80: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	12.3456790123
UniRef90_A6L0A1: Peptidyl-prolyl cis-trans isomerase	12.3456790123
UniRef90_A6L0A1: Peptidyl-prolyl cis-trans isomerase|g__Bacteroides.s__Bacteroides_dorei	6.1728395062
UniRef90_A6L0A1: Peptidyl-prolyl cis-trans isomerase|g__Bacteroides.s__Bacteroides_vulgatus	6.1728395062
UniRef90_R6HFJ1: NO_NAME	12.3456790123
UniRef90_R6HFJ1: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	12.3456790123
UniRef90_A6L031: NO_NAME	12.3456790123
UniRef90_A6L031: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	7.4074074074
UniRef90_A6L031: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	4.9382716049
UniRef90_A6L6X2: NO_NAME	12.1212121212
UniRef90_A6L6X2: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	6.0606060606
UniRef90_A6L6X2: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	6.0606060606
UniRef90_B5A7F8: BUN24p15.5	12.0481927711
UniRef90_B5A7F8: BUN24p15.5|g__Bacteroides.s__Bacteroides_dorei	12.0481927711
UniRef90_C3PZF9: NO_NAME	12.0481927711
UniRef90_C3PZF9: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	12.0481927711
UniRef90_R6HUF6: NO_NAME	12.0120120120
UniRef90_R6HUF6: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	12.0120120120
UniRef90_A6L7J0: Glycoside hydrolase family 29	11.9904076739
UniRef90_A6L7J0: Glycoside hydrolase family 29|g__Bacteroides.s__Bacteroides_dorei	6.3948840927
UniRef90_A6L7J0: Glycoside hydrolase family 29|g__Bacteroides.s__Bacteroides_vulgatus	5.5955235811
UniRef90_Q89YW2: NO_NAME	11.9760479042
UniRef90_Q89YW2: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	11.9760479042
UniRef90_A6L6E0: NO_NAME	11.9047619048
UniRef90_A6L6E0: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	11.9047619048
UniRef90_C3Q5G7: NO_NAME	11.9047619048
UniRef90_C3Q5G7: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	11.9047619048
UniRef90_C3Q5W4: NO_NAME	11.9047619048
UniRef90_C3Q5W4: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	11.9047619048
UniRef90_D1K7N4: NO_NAME	11.9047619048
UniRef90_D1K7N4: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	11.9047619048
UniRef90_G1UM66: NO_NAME	11.9047619048
UniRef90_G1UM66: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	11.9047619048
UniRef90_R6HXB0: NO_NAME	11.9047619048
UniRef90_R6HXB0: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	11.9047619048
UniRef90_R6II27: NO_NAME	11.9047619048
UniRef90_R6II27: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	8.9285714286
UniRef90_R6II27: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	2.9761904762
UniRef90_I8W9U2: NO_NAME	11.7994100295
UniRef90_I8W9U2: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	11.7994100295
UniRef90_R6IMC3: NO_NAME	11.7994100295
UniRef90_R6IMC3: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	8.8495575221
UniRef90_R6IMC3: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	2.9498525074
UniRef90_R6I1E0: NO_NAME	11.7647058824
UniRef90_R6I1E0: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	11.7647058824
UniRef90_R6IM51: NO_NAME	11.6539191351
UniRef90_R6IM51: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	6.8054342866
UniRef90_R6IM51: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	4.8484848485
UniRef90_A6L6W4: NO_NAME	11.6372593375
UniRef90_A6L6W4: NO_NAME|g__Bacteroides.s__Bacteroides_vulgatus	11.6372593375
UniRef90_R6HZL4: Aldose 1-epimerase	11.5286146534
UniRef90_R6HZL4: Aldose 1-epimerase|g__Bacteroides.s__Bacteroides_vulgatus	6.6976967790
UniRef90_R6HZL4: Aldose 1-epimerase|g__Bacteroides.s__Bacteroides_dorei	4.8309178744
UniRef90_C6IUM0: NO_NAME	11.4942528736
UniRef90_C6IUM0: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	11.4942528736
UniRef90_D4VC53: Conserved domain protein	11.4942528736
UniRef90_D4VC53: Conserved domain protein|g__Bacteroides.s__Bacteroides_vulgatus	11.4942528736
UniRef90_I9QIW6: NO_NAME	11.4942528736
UniRef90_I9QIW6: NO_NAME|g__Bacteroides.s__Bacteroides_dorei	11.4942528736
UniRef90_Q5L8C8: 50S ribosomal protein L15	11.4942528736
UniRef90_Q5L8C8: 50S ribosomal protein L15|g__Bacteroides.s__Bacteroides_dorei	5.7471264368
UniRef90_Q5L8C8: 50S ribosomal protein L15|g__Bacteroides.s__Bacteroides_vulgatus	5.7471264368
UniRef90_Q64NV0: 50S ribosomal protein L32	11.4942528736
